from,to,cost
1220025100,1220027900,776
1220025100,1220025000,776
1220025100,1220027300,776
1220023400,1220027900,776
1220023400,1220025000,776
1220023400,1220027300,776
1220023400,1220025100,10
1220023400,1220023400,0
1220027900,1220030700,785
1220027900,1220027800,785
1220027900,1210027600,785
1220027900,1220030500,785
1220025000,1220030700,785
1220025000,1220027800,785
1220025000,1210027600,785
1220025000,1220030500,785
1220027300,1220030700,785
1220027300,1220027800,785
1220027300,1210027600,785
1220027300,1220030500,785
1220027300,1220027900,10
1220027300,1220025000,10
1220027300,1220027300,0
1220030700,1210030100,579
1220030700,1220030600,579
1220030700,1220032700,579
1220027800,1210030100,579
1220027800,1220030600,579
1220027800,1220032700,579
1210027600,1210030100,579
1210027600,1220030600,579
1210027600,1220032700,579
1220030500,1210030100,579
1220030500,1220030600,579
1220030500,1220032700,579
1220030500,1220030700,10
1220030500,1220027800,10
1220030500,1210027600,10
1220030500,1220030500,0
1210030100,1210030000,650
1220030600,1210030000,650
1220032700,1210030000,650
1220032700,1210030100,10
1220032700,1220030600,10
1220032700,1220032700,0
1210030000,1210030100,557
1210030000,1220030600,557
1210030000,1220032700,557
1210030000,1210030000,0
1210030100,1220030700,581
1210030100,1220027800,581
1210030100,1210027600,581
1210030100,1220030500,581
1220030600,1220030700,581
1220030600,1220027800,581
1220030600,1210027600,581
1220030600,1220030500,581
1220032700,1220030700,581
1220032700,1220027800,581
1220032700,1210027600,581
1220032700,1220030500,581
1220030700,1220027900,785
1220030700,1220025000,785
1220030700,1220027300,785
1220027800,1220027900,785
1220027800,1220025000,785
1220027800,1220027300,785
1210027600,1220027900,785
1210027600,1220025000,785
1210027600,1220027300,785
1220030500,1220027900,785
1220030500,1220025000,785
1220030500,1220027300,785
1220027900,1220025100,776
1220027900,1220023400,776
1220025000,1220025100,776
1220025000,1220023400,776
1220027300,1220025100,776
1220027300,1220023400,776
1220034400,1220032200,833
1220034400,1220034500,833
1220034400,1220032600,833
1220034400,1220033700,833
1220035000,1220032200,833
1220035000,1220034500,833
1220035000,1220032600,833
1220035000,1220033700,833
1220036100,1220032200,833
1220036100,1220034500,833
1220036100,1220032600,833
1220036100,1220033700,833
1220036100,1220034400,10
1220036100,1220035000,10
1220036100,1220036100,0
1220032200,1220029600,677
1220032200,1220032300,677
1220032200,1220030400,677
1220032200,1220031300,677
1220034500,1220029600,677
1220034500,1220032300,677
1220034500,1220030400,677
1220034500,1220031300,677
1220032600,1220029600,677
1220032600,1220032300,677
1220032600,1220030400,677
1220032600,1220031300,677
1220033700,1220029600,677
1220033700,1220032300,677
1220033700,1220030400,677
1220033700,1220031300,677
1220033700,1220032200,10
1220033700,1220034500,10
1220033700,1220032600,10
1220033700,1220033700,0
1220029600,1220026200,792
1220029600,1220029700,792
1220029600,1220027200,792
1220029600,1220028300,792
1220032300,1220026200,792
1220032300,1220029700,792
1220032300,1220027200,792
1220032300,1220028300,792
1220030400,1220026200,792
1220030400,1220029700,792
1220030400,1220027200,792
1220030400,1220028300,792
1220031300,1220026200,792
1220031300,1220029700,792
1220031300,1220027200,792
1220031300,1220028300,792
1220031300,1220029600,10
1220031300,1220032300,10
1220031300,1220030400,10
1220031300,1220031300,0
1220026200,1220026300,768
1220026200,1220024000,768
1220026200,1220025300,768
1220029700,1220026300,768
1220029700,1220024000,768
1220029700,1220025300,768
1220027200,1220026300,768
1220027200,1220024000,768
1220027200,1220025300,768
1220028300,1220026300,768
1220028300,1220024000,768
1220028300,1220025300,768
1220028300,1220026200,10
1220028300,1220029700,10
1220028300,1220027200,10
1220028300,1220028300,0
1220026300,1220026200,768
1220026300,1220029700,768
1220026300,1220027200,768
1220026300,1220028300,768
1220024000,1220026200,768
1220024000,1220029700,768
1220024000,1220027200,768
1220024000,1220028300,768
1220025300,1220026200,768
1220025300,1220029700,768
1220025300,1220027200,768
1220025300,1220028300,768
1220025300,1220026300,10
1220025300,1220024000,10
1220025300,1220025300,0
1220026200,1220029600,792
1220026200,1220032300,792
1220026200,1220030400,792
1220026200,1220031300,792
1220029700,1220029600,792
1220029700,1220032300,792
1220029700,1220030400,792
1220029700,1220031300,792
1220027200,1220029600,792
1220027200,1220032300,792
1220027200,1220030400,792
1220027200,1220031300,792
1220028300,1220029600,792
1220028300,1220032300,792
1220028300,1220030400,792
1220028300,1220031300,792
1220029600,1220032200,676
1220029600,1220034500,676
1220029600,1220032600,676
1220029600,1220033700,676
1220032300,1220032200,676
1220032300,1220034500,676
1220032300,1220032600,676
1220032300,1220033700,676
1220030400,1220032200,676
1220030400,1220034500,676
1220030400,1220032600,676
1220030400,1220033700,676
1220031300,1220032200,676
1220031300,1220034500,676
1220031300,1220032600,676
1220031300,1220033700,676
1220032200,1220034400,835
1220032200,1220035000,835
1220032200,1220036100,835
1220034500,1220034400,835
1220034500,1220035000,835
1220034500,1220036100,835
1220032600,1220034400,835
1220032600,1220035000,835
1220032600,1220036100,835
1220033700,1220034400,835
1220033700,1220035000,835
1220033700,1220036100,835
1220034600,1220034200,732
1220034600,1220034700,732
1220034600,1220033400,732
1220034000,1220034200,732
1220034000,1220034700,732
1220034000,1220033400,732
1220035900,1220034200,732
1220035900,1220034700,732
1220035900,1220033400,732
1220035900,1220034600,10
1220035900,1220034000,10
1220035900,1220035900,0
1220034200,1220033600,505
1220034200,1220034300,505
1220034200,1220033000,505
1220034200,1220035300,505
1220034700,1220033600,505
1220034700,1220034300,505
1220034700,1220033000,505
1220034700,1220035300,505
1220033400,1220033600,505
1220033400,1220034300,505
1220033400,1220033000,505
1220033400,1220035300,505
1220033400,1220034200,10
1220033400,1220034700,10
1220033400,1220033400,0
1220033600,1220032200,545
1220033600,1220034500,545
1220033600,1220032600,545
1220033600,1220033700,545
1220034300,1220032200,545
1220034300,1220034500,545
1220034300,1220032600,545
1220034300,1220033700,545
1220033000,1220032200,545
1220033000,1220034500,545
1220033000,1220032600,545
1220033000,1220033700,545
1220035300,1220032200,545
1220035300,1220034500,545
1220035300,1220032600,545
1220035300,1220033700,545
1220035300,1220033600,10
1220035300,1220034300,10
1220035300,1220033000,10
1220035300,1220035300,0
1220032200,1210030100,855
1220032200,1220030600,855
1220032200,1220032700,855
1220034500,1210030100,855
1220034500,1220030600,855
1220034500,1220032700,855
1220032600,1210030100,855
1220032600,1220030600,855
1220032600,1220032700,855
1220033700,1210030100,855
1220033700,1220030600,855
1220033700,1220032700,855
1210030100,1220032200,855
1210030100,1220034500,855
1210030100,1220032600,855
1210030100,1220033700,855
1220030600,1220032200,855
1220030600,1220034500,855
1220030600,1220032600,855
1220030600,1220033700,855
1220032700,1220032200,855
1220032700,1220034500,855
1220032700,1220032600,855
1220032700,1220033700,855
1220032200,1220033600,545
1220032200,1220034300,545
1220032200,1220033000,545
1220032200,1220035300,545
1220034500,1220033600,545
1220034500,1220034300,545
1220034500,1220033000,545
1220034500,1220035300,545
1220032600,1220033600,545
1220032600,1220034300,545
1220032600,1220033000,545
1220032600,1220035300,545
1220033700,1220033600,545
1220033700,1220034300,545
1220033700,1220033000,545
1220033700,1220035300,545
1220033600,1220034200,505
1220033600,1220034700,505
1220033600,1220033400,505
1220034300,1220034200,505
1220034300,1220034700,505
1220034300,1220033400,505
1220033000,1220034200,505
1220033000,1220034700,505
1220033000,1220033400,505
1220035300,1220034200,505
1220035300,1220034700,505
1220035300,1220033400,505
1220034200,1220034600,732
1220034200,1220034000,732
1220034200,1220035900,732
1220034700,1220034600,732
1220034700,1220034000,732
1220034700,1220035900,732
1220033400,1220034600,732
1220033400,1220034000,732
1220033400,1220035900,732
1220030800,1220030000,625
1220030800,1220030900,625
1220030800,1220029200,625
1220030800,1220031900,625
1220030800,1220030800,0
1220030000,1220029000,891
1220030000,1220030100,891
1220030000,1220031100,891
1220030900,1220029000,891
1220030900,1220030100,891
1220030900,1220031100,891
1220029200,1220029000,891
1220029200,1220030100,891
1220029200,1220031100,891
1220031900,1220029000,891
1220031900,1220030100,891
1220031900,1220031100,891
1220031900,1220030000,10
1220031900,1220030900,10
1220031900,1220029200,10
1220031900,1220031900,0
1220029000,1220028200,506
1220029000,1220029100,506
1220029000,1220027400,506
1220029000,1220029900,506
1220030100,1220028200,506
1220030100,1220029100,506
1220030100,1220027400,506
1220030100,1220029900,506
1220031100,1220028200,506
1220031100,1220029100,506
1220031100,1220027400,506
1220031100,1220029900,506
1220031100,1220029000,10
1220031100,1220030100,10
1220031100,1220031100,0
1220028200,1220026200,436
1220028200,1220029700,436
1220028200,1220027200,436
1220028200,1220028300,436
1220029100,1220026200,436
1220029100,1220029700,436
1220029100,1220027200,436
1220029100,1220028300,436
1220027400,1220026200,436
1220027400,1220029700,436
1220027400,1220027200,436
1220027400,1220028300,436
1220029900,1220026200,436
1220029900,1220029700,436
1220029900,1220027200,436
1220029900,1220028300,436
1220029900,1220028200,10
1220029900,1220029100,10
1220029900,1220027400,10
1220029900,1220029900,0
1220026200,1220027900,887
1220026200,1220025000,887
1220026200,1220027300,887
1220029700,1220027900,887
1220029700,1220025000,887
1220029700,1220027300,887
1220027200,1220027900,887
1220027200,1220025000,887
1220027200,1220027300,887
1220028300,1220027900,887
1220028300,1220025000,887
1220028300,1220027300,887
1220027900,1220026200,886
1220027900,1220029700,886
1220027900,1220027200,886
1220027900,1220028300,886
1220025000,1220026200,886
1220025000,1220029700,886
1220025000,1220027200,886
1220025000,1220028300,886
1220027300,1220026200,886
1220027300,1220029700,886
1220027300,1220027200,886
1220027300,1220028300,886
1220026200,1220028200,436
1220026200,1220029100,436
1220026200,1220027400,436
1220026200,1220029900,436
1220029700,1220028200,436
1220029700,1220029100,436
1220029700,1220027400,436
1220029700,1220029900,436
1220027200,1220028200,436
1220027200,1220029100,436
1220027200,1220027400,436
1220027200,1220029900,436
1220028300,1220028200,436
1220028300,1220029100,436
1220028300,1220027400,436
1220028300,1220029900,436
1220028200,1220029000,506
1220028200,1220030100,506
1220028200,1220031100,506
1220029100,1220029000,506
1220029100,1220030100,506
1220029100,1220031100,506
1220027400,1220029000,506
1220027400,1220030100,506
1220027400,1220031100,506
1220029900,1220029000,506
1220029900,1220030100,506
1220029900,1220031100,506
1220029000,1220030000,891
1220029000,1220030900,891
1220029000,1220029200,891
1220029000,1220031900,891
1220030100,1220030000,891
1220030100,1220030900,891
1220030100,1220029200,891
1220030100,1220031900,891
1220031100,1220030000,891
1220031100,1220030900,891
1220031100,1220029200,891
1220031100,1220031900,891
1220030000,1220030800,625
1220030900,1220030800,625
1220029200,1220030800,625
1220031900,1220030800,625
1220034600,1220031800,650
1220034600,1220034100,650
1220034600,1220032800,650
1220034600,1220033300,650
1220034000,1220031800,650
1220034000,1220034100,650
1220034000,1220032800,650
1220034000,1220033300,650
1220035900,1220031800,650
1220035900,1220034100,650
1220035900,1220032800,650
1220035900,1220033300,650
1220031800,1220030000,698
1220031800,1220030900,698
1220031800,1220029200,698
1220031800,1220031900,698
1220034100,1220030000,698
1220034100,1220030900,698
1220034100,1220029200,698
1220034100,1220031900,698
1220032800,1220030000,698
1220032800,1220030900,698
1220032800,1220029200,698
1220032800,1220031900,698
1220033300,1220030000,698
1220033300,1220030900,698
1220033300,1220029200,698
1220033300,1220031900,698
1220033300,1220031800,10
1220033300,1220034100,10
1220033300,1220032800,10
1220033300,1220033300,0
1220030000,1220026600,745
1220030000,1220029300,745
1220030000,1220026800,745
1220030000,1220028100,745
1220030900,1220026600,745
1220030900,1220029300,745
1220030900,1220026800,745
1220030900,1220028100,745
1220029200,1220026600,745
1220029200,1220029300,745
1220029200,1220026800,745
1220029200,1220028100,745
1220031900,1220026600,745
1220031900,1220029300,745
1220031900,1220026800,745
1220031900,1220028100,745
1220026600,1220026700,453
1220029300,1220026700,453
1220026800,1220026700,453
1220028100,1220026700,453
1220028100,1220026600,10
1220028100,1220029300,10
1220028100,1220026800,10
1220028100,1220028100,0
1220026700,1220026600,453
1220026700,1220029300,453
1220026700,1220026800,453
1220026700,1220028100,453
1220026700,1220026700,0
1220026600,1220030000,746
1220026600,1220030900,746
1220026600,1220029200,746
1220026600,1220031900,746
1220029300,1220030000,746
1220029300,1220030900,746
1220029300,1220029200,746
1220029300,1220031900,746
1220026800,1220030000,746
1220026800,1220030900,746
1220026800,1220029200,746
1220026800,1220031900,746
1220028100,1220030000,746
1220028100,1220030900,746
1220028100,1220029200,746
1220028100,1220031900,746
1220030000,1220031800,698
1220030000,1220034100,698
1220030000,1220032800,698
1220030000,1220033300,698
1220030900,1220031800,698
1220030900,1220034100,698
1220030900,1220032800,698
1220030900,1220033300,698
1220029200,1220031800,698
1220029200,1220034100,698
1220029200,1220032800,698
1220029200,1220033300,698
1220031900,1220031800,698
1220031900,1220034100,698
1220031900,1220032800,698
1220031900,1220033300,698
1220031800,1220034600,650
1220031800,1220034000,650
1220031800,1220035900,650
1220034100,1220034600,650
1220034100,1220034000,650
1220034100,1220035900,650
1220032800,1220034600,650
1220032800,1220034000,650
1220032800,1220035900,650
1220033300,1220034600,650
1220033300,1220034000,650
1220033300,1220035900,650
1220034200,1220031000,692
1220034200,1220033500,692
1220034200,1220032000,692
1220034200,1220032900,692
1220034700,1220031000,692
1220034700,1220033500,692
1220034700,1220032000,692
1220034700,1220032900,692
1220033400,1220031000,692
1220033400,1220033500,692
1220033400,1220032000,692
1220033400,1220032900,692
1220031000,1220029000,803
1220031000,1220030100,803
1220031000,1220031100,803
1220033500,1220029000,803
1220033500,1220030100,803
1220033500,1220031100,803
1220032000,1220029000,803
1220032000,1220030100,803
1220032000,1220031100,803
1220032900,1220029000,803
1220032900,1220030100,803
1220032900,1220031100,803
1220032900,1220031000,10
1220032900,1220033500,10
1220032900,1220032000,10
1220032900,1220032900,0
1220029000,1220031000,803
1220029000,1220033500,803
1220029000,1220032000,803
1220029000,1220032900,803
1220030100,1220031000,803
1220030100,1220033500,803
1220030100,1220032000,803
1220030100,1220032900,803
1220031100,1220031000,803
1220031100,1220033500,803
1220031100,1220032000,803
1220031100,1220032900,803
1220031000,1220034200,690
1220031000,1220034700,690
1220031000,1220033400,690
1220033500,1220034200,690
1220033500,1220034700,690
1220033500,1220033400,690
1220032000,1220034200,690
1220032000,1220034700,690
1220032000,1220033400,690
1220032900,1220034200,690
1220032900,1220034700,690
1220032900,1220033400,690
1220030700,1210026900,1170
1220027800,1210026900,1170
1210027600,1210026900,1170
1220030500,1210026900,1170
1210026900,1220030700,1170
1210026900,1220027800,1170
1210026900,1210027600,1170
1210026900,1220030500,1170
1210026900,1210026900,0
1220034600,1220036300,769
1220034600,1220035800,769
1220034000,1220036300,769
1220034000,1220035800,769
1220035900,1220036300,769
1220035900,1220035800,769
1220036300,1220036000,636
1220036300,1220036200,636
1220036300,1220035200,636
1220035800,1220036000,636
1220035800,1220036200,636
1220035800,1220035200,636
1220035800,1220036300,10
1220035800,1220035800,0
1220036000,1220034400,531
1220036000,1220035000,531
1220036000,1220036100,531
1220036200,1220034400,531
1220036200,1220035000,531
1220036200,1220036100,531
1220035200,1220034400,531
1220035200,1220035000,531
1220035200,1220036100,531
1220035200,1220036000,10
1220035200,1220036200,10
1220035200,1220035200,0
1220034400,1220035100,968
1220035000,1220035100,968
1220036100,1220035100,968
1220035100,1220034400,968
1220035100,1220035000,968
1220035100,1220036100,968
1220035100,1220035100,0
1220034400,1220036000,526
1220034400,1220036200,526
1220034400,1220035200,526
1220035000,1220036000,526
1220035000,1220036200,526
1220035000,1220035200,526
1220036100,1220036000,526
1220036100,1220036200,526
1220036100,1220035200,526
1220036000,1220036300,631
1220036000,1220035800,631
1220036200,1220036300,631
1220036200,1220035800,631
1220035200,1220036300,631
1220035200,1220035800,631
1220036300,1220034600,759
1220036300,1220034000,759
1220036300,1220035900,759
1220035800,1220034600,759
1220035800,1220034000,759
1220035800,1220035900,759
1220036000,1220033600,860
1220036000,1220034300,860
1220036000,1220033000,860
1220036000,1220035300,860
1220036200,1220033600,860
1220036200,1220034300,860
1220036200,1220033000,860
1220036200,1220035300,860
1220035200,1220033600,860
1220035200,1220034300,860
1220035200,1220033000,860
1220035200,1220035300,860
1220033600,1220029800,701
1220033600,1220033100,701
1220033600,1220031200,701
1220033600,1220032100,701
1220034300,1220029800,701
1220034300,1220033100,701
1220034300,1220031200,701
1220034300,1220032100,701
1220033000,1220029800,701
1220033000,1220033100,701
1220033000,1220031200,701
1220033000,1220032100,701
1220035300,1220029800,701
1220035300,1220033100,701
1220035300,1220031200,701
1220035300,1220032100,701
1220029800,1220028200,829
1220029800,1220029100,829
1220029800,1220027400,829
1220029800,1220029900,829
1220033100,1220028200,829
1220033100,1220029100,829
1220033100,1220027400,829
1220033100,1220029900,829
1220031200,1220028200,829
1220031200,1220029100,829
1220031200,1220027400,829
1220031200,1220029900,829
1220032100,1220028200,829
1220032100,1220029100,829
1220032100,1220027400,829
1220032100,1220029900,829
1220032100,1220029800,10
1220032100,1220033100,10
1220032100,1220031200,10
1220032100,1220032100,0
1220028200,1220024600,783
1220028200,1220025200,783
1220028200,1220026100,783
1220029100,1220024600,783
1220029100,1220025200,783
1220029100,1220026100,783
1220027400,1220024600,783
1220027400,1220025200,783
1220027400,1220026100,783
1220029900,1220024600,783
1220029900,1220025200,783
1220029900,1220026100,783
1220024600,1220021500,1000
1220025200,1220021500,1000
1220026100,1220021500,1000
1220026100,1220024600,10
1220026100,1220025200,10
1220026100,1220026100,0
1220021500,1220024600,1000
1220021500,1220025200,1000
1220021500,1220026100,1000
1220021500,1220021500,0
1220024600,1220028200,786
1220024600,1220029100,786
1220024600,1220027400,786
1220024600,1220029900,786
1220025200,1220028200,786
1220025200,1220029100,786
1220025200,1220027400,786
1220025200,1220029900,786
1220026100,1220028200,786
1220026100,1220029100,786
1220026100,1220027400,786
1220026100,1220029900,786
1220028200,1220029800,821
1220028200,1220033100,821
1220028200,1220031200,821
1220028200,1220032100,821
1220029100,1220029800,821
1220029100,1220033100,821
1220029100,1220031200,821
1220029100,1220032100,821
1220027400,1220029800,821
1220027400,1220033100,821
1220027400,1220031200,821
1220027400,1220032100,821
1220029900,1220029800,821
1220029900,1220033100,821
1220029900,1220031200,821
1220029900,1220032100,821
1220029800,1220033600,705
1220029800,1220034300,705
1220029800,1220033000,705
1220029800,1220035300,705
1220033100,1220033600,705
1220033100,1220034300,705
1220033100,1220033000,705
1220033100,1220035300,705
1220031200,1220033600,705
1220031200,1220034300,705
1220031200,1220033000,705
1220031200,1220035300,705
1220032100,1220033600,705
1220032100,1220034300,705
1220032100,1220033000,705
1220032100,1220035300,705
1220033600,1220036000,855
1220033600,1220036200,855
1220033600,1220035200,855
1220034300,1220036000,855
1220034300,1220036200,855
1220034300,1220035200,855
1220033000,1220036000,855
1220033000,1220036200,855
1220033000,1220035200,855
1220035300,1220036000,855
1220035300,1220036200,855
1220035300,1220035200,855
1220028000,1220026600,622
1220028000,1220029300,622
1220028000,1220026800,622
1220028000,1220028100,622
1220028000,1220028000,0
1220026600,1220024600,1330
1220026600,1220025200,1330
1220026600,1220026100,1330
1220029300,1220024600,1330
1220029300,1220025200,1330
1220029300,1220026100,1330
1220026800,1220024600,1330
1220026800,1220025200,1330
1220026800,1220026100,1330
1220028100,1220024600,1330
1220028100,1220025200,1330
1220028100,1220026100,1330
1220024600,1220026300,555
1220024600,1220024000,555
1220024600,1220025300,555
1220025200,1220026300,555
1220025200,1220024000,555
1220025200,1220025300,555
1220026100,1220026300,555
1220026100,1220024000,555
1220026100,1220025300,555
1220026300,1220025100,875
1220026300,1220023400,875
1220024000,1220025100,875
1220024000,1220023400,875
1220025300,1220025100,875
1220025300,1220023400,875
1220025100,1220026300,875
1220025100,1220024000,875
1220025100,1220025300,875
1220023400,1220026300,875
1220023400,1220024000,875
1220023400,1220025300,875
1220026300,1220024600,555
1220026300,1220025200,555
1220026300,1220026100,555
1220024000,1220024600,555
1220024000,1220025200,555
1220024000,1220026100,555
1220025300,1220024600,555
1220025300,1220025200,555
1220025300,1220026100,555
1220024600,1220026600,1330
1220024600,1220029300,1330
1220024600,1220026800,1330
1220024600,1220028100,1330
1220025200,1220026600,1330
1220025200,1220029300,1330
1220025200,1220026800,1330
1220025200,1220028100,1330
1220026100,1220026600,1330
1220026100,1220029300,1330
1220026100,1220026800,1330
1220026100,1220028100,1330
1220026600,1220028000,622
1220029300,1220028000,622
1220026800,1220028000,622
1220028100,1220028000,622
1220033200,1220031800,619
1220033200,1220034100,619
1220033200,1220032800,619
1220033200,1220033300,619
1220033200,1220033200,0
1220031800,1220031000,812
1220031800,1220033500,812
1220031800,1220032000,812
1220031800,1220032900,812
1220034100,1220031000,812
1220034100,1220033500,812
1220034100,1220032000,812
1220034100,1220032900,812
1220032800,1220031000,812
1220032800,1220033500,812
1220032800,1220032000,812
1220032800,1220032900,812
1220033300,1220031000,812
1220033300,1220033500,812
1220033300,1220032000,812
1220033300,1220032900,812
1220031000,1220029800,559
1220031000,1220033100,559
1220031000,1220031200,559
1220031000,1220032100,559
1220033500,1220029800,559
1220033500,1220033100,559
1220033500,1220031200,559
1220033500,1220032100,559
1220032000,1220029800,559
1220032000,1220033100,559
1220032000,1220031200,559
1220032000,1220032100,559
1220032900,1220029800,559
1220032900,1220033100,559
1220032900,1220031200,559
1220032900,1220032100,559
1220029800,1220029600,438
1220029800,1220032300,438
1220029800,1220030400,438
1220029800,1220031300,438
1220033100,1220029600,438
1220033100,1220032300,438
1220033100,1220030400,438
1220033100,1220031300,438
1220031200,1220029600,438
1220031200,1220032300,438
1220031200,1220030400,438
1220031200,1220031300,438
1220032100,1220029600,438
1220032100,1220032300,438
1220032100,1220030400,438
1220032100,1220031300,438
1220029600,1220030700,891
1220029600,1220027800,891
1220029600,1210027600,891
1220029600,1220030500,891
1220032300,1220030700,891
1220032300,1220027800,891
1220032300,1210027600,891
1220032300,1220030500,891
1220030400,1220030700,891
1220030400,1220027800,891
1220030400,1210027600,891
1220030400,1220030500,891
1220031300,1220030700,891
1220031300,1220027800,891
1220031300,1210027600,891
1220031300,1220030500,891
1220030700,1220029600,892
1220030700,1220032300,892
1220030700,1220030400,892
1220030700,1220031300,892
1220027800,1220029600,892
1220027800,1220032300,892
1220027800,1220030400,892
1220027800,1220031300,892
1210027600,1220029600,892
1210027600,1220032300,892
1210027600,1220030400,892
1210027600,1220031300,892
1220030500,1220029600,892
1220030500,1220032300,892
1220030500,1220030400,892
1220030500,1220031300,892
1220029600,1220029800,437
1220029600,1220033100,437
1220029600,1220031200,437
1220029600,1220032100,437
1220032300,1220029800,437
1220032300,1220033100,437
1220032300,1220031200,437
1220032300,1220032100,437
1220030400,1220029800,437
1220030400,1220033100,437
1220030400,1220031200,437
1220030400,1220032100,437
1220031300,1220029800,437
1220031300,1220033100,437
1220031300,1220031200,437
1220031300,1220032100,437
1220029800,1220031000,558
1220029800,1220033500,558
1220029800,1220032000,558
1220029800,1220032900,558
1220033100,1220031000,558
1220033100,1220033500,558
1220033100,1220032000,558
1220033100,1220032900,558
1220031200,1220031000,558
1220031200,1220033500,558
1220031200,1220032000,558
1220031200,1220032900,558
1220032100,1220031000,558
1220032100,1220033500,558
1220032100,1220032000,558
1220032100,1220032900,558
1220031000,1220031800,812
1220031000,1220034100,812
1220031000,1220032800,812
1220031000,1220033300,812
1220033500,1220031800,812
1220033500,1220034100,812
1220033500,1220032800,812
1220033500,1220033300,812
1220032000,1220031800,812
1220032000,1220034100,812
1220032000,1220032800,812
1220032000,1220033300,812
1220032900,1220031800,812
1220032900,1220034100,812
1220032900,1220032800,812
1220032900,1220033300,812
1220031800,1220033200,619
1220034100,1220033200,619
1220032800,1220033200,619
1220033300,1220033200,619
5,1220021500,1000
8,1220021500,1000
5,1220028200,786
8,1220028200,786
5,1220029100,786
8,1220029100,786
5,1220027400,786
8,1220027400,786
5,1220029900,786
8,1220029900,786
5,1220026300,555
8,1220026300,555
5,1220024000,555
8,1220024000,555
5,1220025300,555
8,1220025300,555
5,1220026600,1330
8,1220026600,1330
5,1220029300,1330
8,1220029300,1330
5,1220026800,1330
8,1220026800,1330
5,1220028100,1330
8,1220028100,1330
1220028200,5,783
1220028200,8,783
1220029100,5,783
1220029100,8,783
1220027400,5,783
1220027400,8,783
1220029900,5,783
1220029900,8,783
1220026100,5,10
1220026100,8,10
1220021500,5,1000
1220021500,8,1000
1220026600,5,1330
1220026600,8,1330
1220029300,5,1330
1220029300,8,1330
1220026800,5,1330
1220026800,8,1330
1220028100,5,1330
1220028100,8,1330
1220026300,5,555
1220026300,8,555
1220024000,5,555
1220024000,8,555
1220025300,5,555
1220025300,8,555
6,1220021500,1000
6,1220028200,786
6,1220029100,786
6,1220027400,786
6,1220029900,786
6,1220026300,555
6,1220024000,555
6,1220025300,555
6,1220026600,1330
6,1220029300,1330
6,1220026800,1330
6,1220028100,1330
1220028200,6,783
1220029100,6,783
1220027400,6,783
1220029900,6,783
1220026100,6,10
1220021500,6,1000
1220026600,6,1330
1220029300,6,1330
1220026800,6,1330
1220028100,6,1330
1220026300,6,555
1220024000,6,555
1220025300,6,555
7,1220021500,1000
7,1220024600,10
8,1220024600,10
7,1220025200,10
8,1220025200,10
7,1220028200,786
7,1220029100,786
7,1220027400,786
7,1220029900,786
7,1220026300,555
7,1220024000,555
7,1220025300,555
7,1220026600,1330
7,1220029300,1330
7,1220026800,1330
7,1220028100,1330
1220028200,7,783
1220029100,7,783
1220027400,7,783
1220029900,7,783
1220021500,7,1000
1220026600,7,1330
1220029300,7,1330
1220026800,7,1330
1220028100,7,1330
1220026300,7,555
1220024000,7,555
1220025300,7,555
5,5,0
5,6,10
5,7,10
5,8,10
6,5,10
6,6,0
6,7,10
6,8,10
7,5,10
7,6,10
7,7,0
7,8,10
8,5,10
8,6,10
8,7,10
8,8,0
5,1220025200,10
1220025200,5,10
5,120024600,10
120024600,5,10
5,1220026100,10
6,1220025200,10
1220025200,6,10
6,120024600,10
120024600,6,10
6,1220026100,10
1220025200,7,10
7,120024600,10
120024600,7,10
7,1220026100,10
1220026100,7,10
1220025200,8,10
8,120024600,10
120024600,8,10
8,1220026100,10
