지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(null),소형일최대증발량(null),대형총증발량(null),대형일최대증발량(null),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(null),평균중하층운량(null),일조시간합(null),일조율(null),전천일사합(null),최심적설(null),최심신적설(null),3시간신적설합(null),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
108,2018-01,-4,.1,-7.3,8.7,-17.8,20180117,20180126,1013.5,1024.6,1033.8,1007.5,20180112,20180108,2.5,7.3,.5,20180115,20180125,-13.9,48,16,20180121,8.5,3.3,,,20180122,,,39.2,1.9,25.6,1.3,20180102,20180102,1.9,7.2,12.2,320,290,20180124,20180129,4.3,2.7,186.7,65.01,158.99,3.5,3.5,6.9,20180131,20180130,-11.7,-20.2,20180127,-2.8,-1.6,-.9,.1,.8,2,4.9,7.8,14.1,17
108,2018-02,-1.6,3.3,-5.9,10.4,-13.4,20180226,20180207,1012.8,1023.8,1031.2,1002.3,20180202,20180228,2.6,7.5,.7,20180228,20180210,-13,45,13,20180221,29.6,25,,,20180228,,,65.7,3.7,45.8,2.6,20180220,20180220,2.2,6.3,12.2,320,230,20180210,20180213,3.9,2.2,194.2,66.53,309.28,4.1,3.7,4.4,20180223,20180223,-11.8,-21.4,20180207,-1.1,-1,-1,-.7,-.4,.6,3.1,5.7,11.9,15.6
108,2018-03,8.1,13.6,3.8,22.1,-6.7,20180314,20180302,1009.9,1020.3,1031.2,1002.4,20180307,20180301,6.6,15.8,1.5,20180315,20180302,-.2,59,13,20180303,49.5,27,,,20180315,,,107.2,5.7,74.9,4,20180330,20180330,1.9,6.9,12.8,290,90,20180301,20180320,5.2,4.1,209.1,56.38,446.41,,,,,,-.4,-10.1,20180302,8.4,8.1,7.5,6.8,6.3,6,5.6,6.4,10.4,14.2
108,2018-04,13,18.5,8.1,26.3,.1,20180420,20180409,1005.4,1015.6,1025.3,1003.6,20180413,20180410,8,16.4,2.1,20180430,20180407,2.6,55,8,20180421,130.3,59,8.5,2.5,20180423,20180423,20180423,151.3,9.2,105.8,6.4,20180421,20180421,2,8.8,15.9,200,230,20180410,20180410,4.7,3.3,223.4,56.54,513.19,,,,,,3.2,-5.9,20180408,14.5,13.6,13.3,12.8,12.4,12.3,11.2,10.7,10.8,13.2
108,2018-05,18.2,23.3,13.4,29.6,6.9,20180526,20180503,1001.3,1011.2,1024.4,1000.8,20180510,20180502,13.1,26.4,4.8,20180517,20180521,10.1,63,22,20180525,222,83,35,13.5,20180517,20180516,20180516,159.4,8.2,111.2,5.8,20180526,20180524,1.7,8,13.4,290,270,20180517,20180517,5.4,3.5,231.6,52.66,561.24,,,,,,10.1,3.1,20180504,21.1,19.7,19.3,18.7,18.1,17.7,15.9,14.7,12.6,13
108,2018-06,23.1,28.4,18.9,32.9,16.3,20180625,20180616,997.8,1007.6,1016.7,997,20180602,20180628,17.3,30,8.7,20180630,20180602,14.9,63,19,20180603,171.5,71.5,22.5,11,20180626,20180628,20180628,182.6,10,127.9,7,20180602,20180602,1.7,5.7,10.5,200,160,20180626,20180626,5.9,3,236.6,53.51,602.59,,,,,,15.2,10.5,20180603,27.9,25.4,24.9,24,23.3,22.8,20.6,18.8,14.7,13.5
108,2018-07,27.8,32.1,24.2,38.3,17.7,20180731,20180708,998.9,1008.5,1016.3,995.2,20180709,20180704,24.6,35.2,11.2,20180728,20180708,20.6,68,29,20180721,185.6,83.5,25,9.5,20180701,20180702,20180701,179,9.2,124.9,6.4,20180721,20180722,1.5,4.2,8.4,200,290,20180714,20180711,5.1,3.7,228.5,52.64,561.1,,,,,,21.4,15.8,20180708,31.3,28.7,28.1,27.2,26.5,26.1,23.9,22.3,17.9,14.8
108,2018-08,28.8,33.3,25.2,39.6,20.2,20180801,20180827,997.4,1007,1014.1,990.1,20180817,20180824,24.9,36.1,12.7,20180812,20180817,20.8,65,25,20180817,202.6,96.5,43.5,25.5,20180828,20180828,20180828,175.1,9.4,122.4,6.6,20180801,20180801,1.7,7.1,17.8,180,160,20180821,20180821,5.8,3.7,232.5,55.19,517.16,,,,,,22.3,16.1,20180826,31.8,30.2,29.9,29.1,28.7,28.4,26.7,25.1,19.7,15.9
108,2018-09,21.5,26,17.6,30.9,10.8,20180901,20180925,1003.3,1013.2,1023.1,995.3,20180911,20180904,15.4,29.7,6.8,20180903,20180930,12.9,61,23,20180925,68.5,34.5,20,5.5,20180903,20180903,20180903,144.9,7.1,101.2,4.9,20180908,20180909,1.6,5.7,11.1,270,270,20180905,20180906,5.1,3,218.7,58.6,470.96,,,,,,14.3,6.8,20180925,23.5,23.1,23.4,23.4,23.6,24,24.3,24.2,21.2,17.3
108,2018-10,13.1,18.6,8.5,25.6,.7,20181004,20181030,1008.6,1018.9,1027.7,1001,20181020,20181006,8.9,18.9,3.6,20181006,20181030,4.6,59,16,20181017,120.5,55.5,10.5,3,20181006,20181006,20181005,109.1,5.2,76.3,3.6,20181003,20181003,1.5,6.1,13.8,270,270,20181001,20181028,3.7,2,241.9,69.43,403.34,,,,,,4.1,-3.6,20181030,14,14.6,15.4,16.1,16.7,17.6,19.6,20.8,20.7,18.2
108,2018-11,7.8,13.2,3.6,19.4,-3.1,20181104,20181123,1013.1,1023.7,1030.6,1004.7,20181123,20181108,6.3,15.4,1.4,20181108,20181128,-1,58,12,20181128,79.1,64,,,20181108,,,71.1,3.7,49.9,2.6,20181104,20181104,1.4,5.6,11.5,270,290,20181122,20181109,4,2.4,177.6,58.13,265.35,8.8,8.8,8.8,20181124,20181124,-.3,-8.6,20181123,7.1,8.3,9.1,9.9,10.6,11.7,14.4,16.4,18.9,18.4
108,2018-12,-.6,4.1,-4.7,13.5,-14.4,20181203,20181228,1016.8,1027.8,1039.7,1013.7,20181231,20181203,3.1,15.1,.5,20181203,20181227,-11.6,46,16,20181231,16.4,9.5,,,20181203,,,56.5,2.9,39.6,2,20181223,20181223,1.8,5.9,13.3,290,320,20181207,20181207,3.8,2.3,199.9,66.92,253.64,1.7,1.7,2.1,20181213,20181213,-8.8,-16.3,20181230,0,.8,1.7,2.8,3.7,5.1,8.5,11.4,16.4,17.6
